Company,Business Entity Name,Domain,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size,Founded Year,Status,Bank Ruptcy Status,Tagline,Verification
Wonderment Apps,"Wonderment Apps, LLC",Software Development,https://www.wondermentapps.com/contact-us//?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Los Angeles, CA",(866) 268-7110,4.9,21 reviews,$50 - $99 / hr,"$5,000+",50 - 249,2015,Active,No,"Design Like A Butterfly, Code Like A Bee",GOLD VERIFIED
Itransition,"Itransition, Inc.",Software Development,https://www.itransition.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Denver, CO",+1 720 207 2820,4.9,37 reviews,$25 - $49 / hr,"$25,000+","1,000 - 9,999",1998,Active,No,Software Engineering. Intelligent Automation.,GOLD VERIFIED
Brainhub,Brainhub Sp. z o. o.,Software Development,https://brainhub.eu/?utm_source=clutch&utm_medium=referral&utm_campaign=custom_profile,"Gliwice, Poland",+48791707758,4.8,31 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2014,Active,,→ Move faster with JavaScript & .NET experts,GOLD VERIFIED
itCraft,itCraft Sp. z o.o,Software Development,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,"Warszawa, Poland",+1 646 630 9053,5.0,56 reviews,$50 - $99 / hr,"$50,000+",50 - 249,2010,Active,,Build products with agile teams you can trust,GOLD VERIFIED
Q agency,Q društvo s ograničenom odgovornošću za usluge,Software Development,http://q.agency/?utm_source=clutch.co&utm_medium=referral,"Zagreb, Croatia",+385 1 4816 175,4.8,26 reviews,$50 - $99 / hr,"$100,000+",250 - 999,2013,Active,,"Whatever the Q, We got the A.",GOLD VERIFIED
Netguru,NETGURU SPÓŁKA AKCYJNA,Software Development,https://www.netguru.com/services/?utm_source=clutch&utm_medium=referral,"Poznań, Poland",442038713389,4.8,41 reviews,$50 - $99 / hr,"$25,000+",250 - 999,2008,Active,,Building digital solutions for world changers,GOLD VERIFIED
8base Labs,8base Inc.,Software Development,https://www.8base.com/services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Miami, FL",4158422048,4.6,9 reviews,$50 - $99 / hr,"$25,000+",10 - 49,2017,Active,No,A revolutionary approach to digital products.,SILVER VERIFIED
"Menlo Technologies, A Quisitive Company","Menlo Technologies, Inc.",Software Development,https://www.menlo-technologies.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Los Altos, CA",408-736-8100,4.9,15 reviews,$25 - $49 / hr,"$25,000+",250 - 999,2010,Active,No,"Cloud, Web Apps and Mobile enterprise development",GOLD VERIFIED
Andersen Inc.,AndersenLab Limited Liability Company,Software Development,https://andersenlab.com?utm_source=clutch&utm_medium=buttom,"New York, NY",+1-800-967-7762,4.9,94 reviews,$25 - $49 / hr,"$10,000+","1,000 - 9,999",2007,Active,No,Software Solutions to Transform your Business,GOLD VERIFIED
Radixweb,Radixweb Technosoft LLP,Software Development,https://radixweb.com/?utm_source=clutch&utm_medium=SponsorListing&utm_campaign=clutch,"Artesia, CA",6468016885,4.8,42 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2000,Active,,Software Web & Mobile Apps Development,GOLD VERIFIED
Fulcrum,Individual Entrepreneur Prokopenko I.H.,Software Development,http://fulcrum.rocks/?utm_source=clutch&utm_medium=referral,"Kyiv, Ukraine",+17207920345,4.9,24 reviews,$25 - $49 / hr,"$10,000+",50 - 249,2018,Active,,Turn ideas that inspire into products that help,SILVER VERIFIED
Moravio,Moravio s.r.o.,Software Development,https://www.moravio.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Prague, Czech Republic",+420 739 360 450,4.9,14 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2011,Active,,We build custom software with Node.js and React,GOLD VERIFIED
MojoTech,"MOJOTECH, LLC",Software Development,http://www.mojotech.com/?utm_source=clutch.co&utm_medium=referral,"Providence, RI",855.665.6832,5.0,11 reviews,$150 - $199 / hr,"$25,000+",10 - 49,2008,Active,No,We build software that grows businesses.,GOLD VERIFIED
Highland,"Highland Group, Inc.",Software Development,https://highlandsolutions.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,"Chicago, IL",312-863-7500,4.9,38 reviews,$150 - $199 / hr,"$25,000+",10 - 49,1999,Active,No,Innovative digital solutions to scale your busines,GOLD VERIFIED
ROCKETECH,ROCKETECH PTE. LTD.,Software Development,https://rocketech.it/?utm_source=clutch&utm_medium=profile,"Singapore, Singapore",+6531593765,4.9,30 reviews,$25 - $49 / hr,"$5,000+",50 - 249,2015,Active,,Agile Consulting & Complex Software Development,GOLD VERIFIED
HatchWorks Technologies,HatchWorks Technologies Inc.,Software Development,https://www.hatchworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Atlanta, GA",404-429-1281,5.0,11 reviews,$50 - $99 / hr,"$75,000+",50 - 249,2016,Active,No,Ignite. Accelerate. Succeed.,GOLD VERIFIED
Emergent Software,"Emergent Software, LLC",Software Development,http://web.emergentsoftware.net/profile-clutch,"Saint Paul, MN",612-217-0747,4.9,26 reviews,$150 - $199 / hr,"$25,000+",10 - 49,2015,Active,No,Custom Software & Complex Website Solutions,GOLD VERIFIED
10Clouds,10Clouds Sp. z o.o.,Software Development,https://10clouds.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Northville, MI",+48 575 909 903,4.9,64 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2009,Active,,Premium software consultancy: Scaleups&Enterprises,GOLD VERIFIED
Liventus,"Liventus, Inc.",Software Development,https://www.liventus.com/work-with-us/?utm_source=clutch.co&utm_medium=referral,"Chicago, IL",847-443-2593,4.9,17 reviews,$100 - $149 / hr,"$5,000+",50 - 249,2002,Active,No,Custom Software Development and Automation,GOLD VERIFIED
Kodius,Kodius d.o.o.,Software Development,https://kodius.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Zagreb, Croatia",+385 91 1507682,4.9,19 reviews,$50 - $99 / hr,"$10,000+",10 - 49,2016,Active,,Creating digital products that last,GOLD VERIFIED
Codup,Bawany Bros,Software Development,https://codup.co/?utm_source=clutch.co&utm_medium=referral,"Karachi, Pakistan",+1-281-595 8169,4.8,42 reviews,$25 - $49 / hr,"$10,000+",10 - 49,2012,Active,,Simple Solutions to Complex Problems,BRONZE VERIFIED
SPARK Business Works,Elite Technology Group. LLC,Software Development,https://www.sparkbusinessworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Kalamazoo, MI",1 866 277 2752,4.9,10 reviews,$100 - $149 / hr,"$5,000+",50 - 249,2017,Active,No,An expert team to build your custom solution.,GOLD VERIFIED
Brocoders,Brocoders LLC,Software Development,https://brocoders.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Tallinn, Estonia",+3726028547,5.0,20 reviews,$25 - $49 / hr,"$10,000+",50 - 249,2014,Active,,"On-demand Tech Team for SaaS: Node.js, React.js",BRONZE VERIFIED
Woodridge Software,Woodridge Advisors LLC,Software Development,http://woodridgesoftware.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Denver, CO",7204039454,4.8,9 reviews,$150 - $199 / hr,"$25,000+",10 - 49,2012,Active,No,"Enterprise Software Development in Golden, CO",SILVER VERIFIED
Icreon,Icreon Tech Inc.,Software Development,https://www.icreon.com/en?utm_campaign=listing&utm_medium=referral&utm_source=clutch,"New York, NY",2127066021,5.0,15 reviews,$100 - $149 / hr,"$50,000+",250 - 999,2000,Active,No,Engineering Growth for What’s Next.,GOLD VERIFIED
CODE/+/TRUST,"Code+Trust, LLC",Software Development,https://codeandtrust.com/contact/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Mount Pleasant, SC",8436197834,5.0,6 reviews,$150 - $199 / hr,"$25,000+",10 - 49,2018,Active,No,Trusted Co-founders in Tech,SILVER VERIFIED
Sloboda Studio,Sloboda OÜ,Software Development,https://sloboda-studio.com/?utm_source=clutch&utm_medium=ruby&utm_campaign=sloboda_page,"Paralepa, Estonia",+4916094851513,4.9,42 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2010,Active,,"Building business-oriented soft for SMBs, startups",BRONZE VERIFIED
Baytech Consulting,"Bay Tech Consulting, LLC",Software Development,https://www.baytechconsulting.com/?utm_source=clutch.co&utm_medium=referral,"Irvine, CA",(877)683-259,5.0,7 reviews,$100 - $149 / hr,"$10,000+",10 - 49,2007,Active,No,TRANSLATING YOUR VISION INTO SOFTWARE,SILVER VERIFIED
3XM Group,3XM GROUP S.A.,Software Development,http://www.3xmgroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Córdoba, Argentina",+54 (351) 483-8185,4.9,7 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2012,Active,,We grow companies with data-driven solutions,BRONZE VERIFIED
Binariks,Binariks Ukraine LLC,Software Development,https://binariks.com/?utm_source=clutch.co&utm_medium=referral,"Torrance, CA",9292141690,4.9,46 reviews,$50 - $99 / hr,"$10,000+",50 - 249,2014,Active,,Web and Mobile Development Company,BRONZE VERIFIED
eTeam,"Appware, Inc.",Software Development,https://www.eteam.io/?utm_source=clutch.co&utm_medium=referral,"San Francisco, CA",+1 (213) 839-8500,4.9,25 reviews,$25 - $49 / hr,"$25,000+",50 - 249,2016,Active,No,The innovator's engineering team,GOLD VERIFIED
Inflection Point,"Inflection Point Systems, Inc",Software Development,http://www.ipointsystems.com/?utm_source=clutch.co&utm_medium=referral,"Columbia, MD",4432558527,4.8,23 reviews,$50 - $99 / hr,"$25,000+",50 - 249,2003,Active,,"Web, Mobile, Enterprise & Cybersecurity Solutions",GOLD VERIFIED
